01ide;1. ide 종류 • 케데헌 아이콘 버전
02Humanoid;2. ide Humanoid • ide 휴머노이드
03BornToBe;3. ide BornToBe • ide 원래 모습 그대로
04GonnaBe;4. ide GonnaBe • ide 그럴거야
05Huntr_x;5. ide Huntr/x • ide 헌터릭스 /x
06Huntrix;6. ide Huntrix • ide 헌터릭스
07Hunters;7. ide Hunters • ide 헌터스
08TakeDown;8. ide TakeDown • ide 끌어 내려
09New ide;9. New ide • 케데헌 아이콘 버전
10UpUpUp;10. ide UpUpUp • ide 높이 높이 높이
11GearUp;11. ide GearUp • ide 준비 해서
12Liberty;12. ide Liberty  • ide 해방
13ML Ai;13. ML Ai • 기계 학습 • 인공 지능
14Obj Ack;14. 시각적 • • 입체 물체 • 인식 방법
15SoftHard;15. • 소프트웨어 • 하드웨어 • 시뮬레이션
16WellFair;16. 휴머노이드 • 험한 일 대체 • 일반 복지
